id,name,type,typecode,address,location,tel,pname,cityname,adname,business_area,photos,gridcode,biz_ext
B000A8UIN8,故宫博物院,风景名胜;风景名胜;世界遗产|科教文化服务;博物馆;博物馆,110201|140100,景山前街4号,"116.397029,39.917839",4009501925,北京市,北京市,东城区,[],"[{'provider': [], 'title': '春季', 'url': 'http://store.is.autonavi.com/showpic/2f968490d105bb2741e17f90b85c6b79'}, {'provider': [], 'title': '春季', 'url': 'http://store.is.autonavi.com/showpic/7c09872350b4b3d857d62d09803cb7c7'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/cd462908859f2bc924b7e7bf886e3606'}]",5916730102,"{'cost': [], 'opentime2': '旺季4月1日至10月31日 周二至周日 08:30-17:00 16:00停止检票，淡季11月1日至3月31日 周二至周日 08:30-16:30 15:30停止检票，周一全天关闭', 'rating': '4.9', 'open_time': [], 'ticket_ordering': '0'}"
B000A7BGMG,雍和宫,风景名胜;风景名胜;风景名胜,110200,雍和宫大街28号(雍和宫地铁站F东南口步行250米),"116.417296,39.947239",010-84191906,北京市,北京市,东城区,东直门,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/9b9abb2a9fff0b6491230aa4435f7ad5'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/6b397bbbd188c6087361de3fbe525b73'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/8e4cf6648c9841a7436195794798e884'}]",5916733321,"{'cost': [], 'opentime2': '1月至3月,11月至12月 周一至周日 09:00-16:30 最晚进入16:00；4月至10月 周一至周日 09:00-17:00 最晚进入16:30', 'rating': '4.9', 'open_time': [], 'ticket_ordering': '0'}"
B000A83C1S,天安门广场,风景名胜;风景名胜;红色景区|风景名胜;公园广场;城市广场,110210|110105,东长安街,"116.397755,39.903182",010-63095745,北京市,北京市,东城区,[],"[{'provider': [], 'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/fab72424-5643-4c14-9486-ae1c8475eab7.jpg'}, {'provider': [], 'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/51705f12-6b79-4c6a-a0a6-462008c22043.jpg'}, {'provider': [], 'title': '天安门广场', 'url': 'http://store.is.autonavi.com/showpic/6c22735ae72cfab207adae0fa74b3a75'}]",5916638112,"{'cost': [], 'opentime2': '周一至周日 05:00-22:00', 'rating': '4.9', 'open_time': '05:00-22:00', 'ticket_ordering': '0'}"
B000A60DA1,天安门,风景名胜;风景名胜;国家级景点,110202,长安街北侧,"116.397463,39.909187",010-86409660,北京市,北京市,东城区,[],"[{'provider': [], 'title': '天安门', 'url': 'http://store.is.autonavi.com/showpic/17a36a737908810a310387c7d53e878a'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/default_poi/comment/content_media_external_file_1000010603_ss__1766794867496_12213146.jpg'}, {'provider': [], 'title': [], 'url': 'https://store.is.autonavi.com/showpic/2f418ba1182a204b0c82ab2de25760fb'}]",5916639102,"{'cost': [], 'opentime2': '周一至周日 05:00-20:15', 'rating': [], 'open_time': '05:00-20:15', 'ticket_ordering': '0'}"
B000A7I1OL,景山公园,风景名胜;公园广场;公园,110101,景山西街44号,"116.396551,39.925875",010-64038098,北京市,北京市,西城区,[],"[{'provider': [], 'title': '春季', 'url': 'http://store.is.autonavi.com/showpic/10eb01af2fd301e54e50d42ea636ccef'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/f26ea189993c113b5535715fa145b746'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/7f5ec8b99eab51bcde3749b389da6b55'}]",5916731102,"{'cost': [], 'opentime2': '4月至10月 周一至周日 06:00-21:00 最晚进入20:30；1月至3月,11月至12月 周一至周日 06:30-20:00 最晚进入19:30', 'rating': '4.9', 'open_time': [], 'ticket_ordering': '0'}"
B000A7O5PK,什刹海,风景名胜;风景名胜;国家级景点,110202,地安门西大街49号,"116.385121,39.941893",010-66185806,北京市,北京市,西城区,德胜门,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/dd97c0390e296f47a20b72063ec86990'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/a996834a98e84fd852162b2551c374f0'}, {'provider': [], 'title': [], 'url': 'https://aos-comment.amap.com/B000A7O5PK/comment/FE1C9950_701C_459A_A41B_72021872B893_L0_001_2000_150_1770536689278_03293722.jpg'}]",5916733002,"{'cost': [], 'opentime2': '周一至周日 00:00-24:00', 'rating': '4.9', 'open_time': '24小时营业', 'ticket_ordering': '0'}"
B000A80UL1,北海公园,风景名胜;公园广场;公园,110101,文津街1号,"116.391802,39.928775",010-64037972,北京市,北京市,西城区,[],"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/68a92863a790f69d2221f7c53906c8c2'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/cde94b02af66721b49f43e75628a0430'}, {'provider': [], 'title': '北海公园[北京]', 'url': 'http://store.is.autonavi.com/showpic/56c62f9ae4b90f99306d84fb4b35e7a8'}]",5916731111,"{'cost': [], 'opentime2': '4月至10月 周一至周日 06:00-21:00 最晚进入20:30；1月至3月,11月至12月 周一至周日 06:30-20:00 最晚进入19:30；景点院落开放时间 : 包括团城、永安寺、阅古楼、画舫斋、静心斋、快雪堂、小西天、西天梵境、阐福寺、万佛楼遗址。 淡季（11月1日-3月31日）:8:30开门，16:30停止进入，17:00关门。 以上景点除团城外，其他逢周一关闭（法定节假日除外）', 'rating': '4.8', 'open_time': [], 'ticket_ordering': '0'}"
B000A83U0P,中国国家博物馆,科教文化服务;博物馆;博物馆,140100,东长安街16号天安门广场东侧,"116.401304,39.905374",010-65116400,北京市,北京市,东城区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B000A83U0P/headerImg/c18b1708f9b307ca92bf78809f7a0220_2048_2048_80.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/620280e69fbdcc9681f8bf30f62fb9eb'}, {'title': '春季', 'url': 'http://store.is.autonavi.com/showpic/d44b1c52716bc8bb56489a3504846f34'}]",5916638210,"{'cost': [], 'opentime2': '周一关闭(法定节假日除外)；11月1日至次年5月31日周二至周日09:00-17:00(16:00停止入馆)；6月1日至10月31日周二至周日09:00-17:30(16:30停止入馆)', 'rating': '4.9', 'open_time': []}"
B0FFFAH7I9,南锣鼓巷,风景名胜;风景名胜;风景名胜,110200,交道口街道南大街(南锣鼓巷地铁站E西北口旁),"116.402394,39.937182",15501256033,北京市,北京市,东城区,沙滩,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/6aa94c24640267a56c22af0b9629030a'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/f2325d7c11c9453d8d7eccc96db7e77c'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/173b3acc0bb5c70d3710a43a137c17a7'}]",5916732210,"{'cost': [], 'opentime2': '周一至周日 00:00-24:00', 'rating': '4.8', 'open_time': '24小时营业', 'ticket_ordering': '0'}"
B000A0B593,紫竹院公园,风景名胜;公园广场;公园,110101,中关村南大街35号,"116.319079,39.942352",010-88412894;010-88412801,北京市,北京市,海淀区,[],"[{'provider': [], 'title': '夏季', 'url': 'http://store.is.autonavi.com/showpic/847c5aff3766646a937b8b8cbc72f809'}, {'provider': [], 'title': '春季', 'url': 'http://store.is.autonavi.com/showpic/b606371976d3e243db9f6b0592adc873'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/020a63a38a690f2764ff0020b374aa1d'}]",5916723501,"{'cost': [], 'opentime2': '4月至10月 周一至周日 06:00-22:00 最晚进入21:00；1月至3月,11月至12月 周一至周日 06:00-21:30 最晚进入21:00', 'rating': '4.8', 'open_time': [], 'ticket_ordering': '0'}"
